naslov,leto,ocena_rotten_tomatoes,ocena_imdb
Four Weddings and a Funeral,1994,96,7.1
Bad Girls,1994,13,5.2
No Escape,1994,60,6.1
With Honors,1994,19,6.7
The Crow,1994,85,7.6
Maverick,1994,66,7.0
The Flintstones,1994,20,4.9
Speed,1994,94,7.2
Wolf,1994,62,6.2
The Lion King,1994,93,8.5
Forrest Gump,1994,70,8.8
True Lies,1994,69,7.2
The Mask,1994,79,6.9
Clear and Present Danger,1994,80,6.9
Natural Born Killers,1994,48,7.3
Timecop,1994,44,5.9
The River Wild,1994,56,6.4
The Specialist,1994,10,5.6
Pulp Fiction,1994,92,8.9
Stargate,1994,53,7.1
Interview With the Vampire,1994,64,7.5
Star Trek: Generations,1994,47,6.6
The Santa Clause,1994,72,6.5
Disclosure,1994,59,6.1
Dumb and Dumber,1994,67,7.3
Legends of the Fall,1994,56,7.5
Billy Madison,1995,40,6.4
The Brady Bunch Movie,1995,63,6.1
Man of the House,2005,9,5.4
Outbreak,1995,59,6.6
Tommy Boy,1995,42,7.1
Bad Boys,1995,42,6.9
While You Were Sleeping,1995,81,6.7
French Kiss,1995,50,6.6
Crimson Tide,1995,88,7.3
Die Hard: With a Vengeance,1995,59,7.6
Casper,1995,51,6.1
Congo,1995,22,5.3
Batman Forever,1995,39,5.4
Pocahontas,1995,55,6.7
Apollo 13,1995,96,7.6
Waterworld,1995,48,6.2
Dangerous Minds,1995,31,6.5
Mortal Kombat,1995,45,5.8
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,41,6.6
Seven,1995,,
Get Shorty,1995,88,6.9
Ace Ventura: When Nature Calls,1995,25,6.4
Goldeneye,1995,79,7.2
Toy Story,1995,100,8.3
Jumanji,1995,55,7.0
Waiting to Exhale,1995,61,5.9
Twelve Monkeys,1995,89,8.0
From Dusk Till Dawn,1996,61,7.2
Mr. Holland&#39;s Opus,1995,75,7.3
Black Sheep,1996,28,6.2
Broken Arrow,1996,53,6.1
Rumble in the Bronx,1995,80,6.8
Up Close &amp; Personal,1996,32,6.1
The Birdcage,1996,81,7.2
Primal Fear,1996,77,7.7
The Quest,1996,14,5.6
The Craft,1996,57,6.4
Twister,1996,61,6.4
Mission: Impossible,1996,66,7.1
The Rock,1996,68,7.4
The Cable Guy,1996,54,6.1
Eraser,1996,38,6.1
The Nutty Professor,1996,64,5.6
Independence Day,1996,68,7.0
A Time to Kill,1996,68,7.5
Jack,1996,17,5.8
Tin Cup,1996,72,6.4
The Island of Dr. Moreau,1996,23,4.5
The Crow: City of Angels,1996,11,4.6
Bulletproof,1996,8,5.8
Maximum Risk,1996,32,5.5
The First Wives Club,1996,49,6.4
The Ghost and the Darkness,1996,50,6.8
Sleepers,1996,73,7.6
Romeo + Juliet,1996,74,6.7
Ransom,1996,75,6.7
Space Jam,1996,45,6.5
Star Trek: First Contact,1996,92,7.6
101 Dalmatians,1996,41,5.7
Jerry Maguire (1996),1996,84,7.3
Beavis and Butt-Head Do America,1996,70,6.8
Michael,1996,34,5.7
The Relic,1997,92,5.8
Beverly Hills Ninja,1997,14,5.6
Star Wars: Episode IV - A New Hope (Reissue),1997,,
Star Wars: Episode V - The Empire Strikes Back (Special Edition),1997,,
Private Parts,1997,80,6.9
Star Wars: Episode VI â€“ Return of the Jedi (Special Edition),1997,,
Liar Liar,1997,82,6.9
Anaconda,1997,37,4.8
Volcano,1997,49,5.5
Breakdown,1997,82,6.9
The Fifth Element,1997,70,7.7
The Lost World: Jurassic Park,1997,53,6.6
Con Air,1997,55,6.9
Speed 2: Cruise Control,1997,4,3.9
Batman &amp; Robin,1997,12,3.8
Face/Off,1997,92,7.2
Men in Black,1997,92,7.3
Air Force One,1997,78,6.5
Conspiracy Theory,1997,57,6.7
Cop Land,1997,75,6.9
G.I. Jane,1997,50,6.0
Fire Down Below,1997,14,5.1
In &amp; Out,1997,70,6.4
The Peacemaker,1997,43,6.0
Kiss the Girls,1997,33,6.6
I Know What You Did Last Summer,1997,44,5.7
Starship Troopers,1997,66,7.2
Flubber,1997,24,5.3
Scream 2,1997,81,6.2
Titanic,1997,89,7.8
Lost in Space,1998,28,5.2
City of Angels,1998,58,6.7
The Big Hit,1998,43,6.1
He Got Game,1998,81,6.9
